Height/arb.u.	Counts
0	0
0.2	0
0.4	0
0.6	0
0.8	0
1	0
1.2	0
1.4	0
1.6	0
1.8	1
2	2
2.2	5
2.4	16
2.6	17
2.8	11
3	5
3.2	6
3.4	3
3.6	3
3.8	7
4	5
4.2	4
4.4	12
4.6	21
4.8	16
5	27
5.2	32
5.4	40
5.6	50
5.8	49
6	44
6.2	53
6.4	57
6.6	55
6.8	57
7	64
7.2	69
7.4	62
7.6	72
7.8	91
8	77
8.2	72
8.4	81
8.6	93
8.8	84
9	115
9.2	124
9.4	126
9.6	123
9.8	134
10	120
10.2	153
10.4	156
10.6	124
10.8	167
11	179
11.2	200
11.4	159
11.6	184
11.8	156
12	178
12.2	175
12.4	195
12.6	195
12.8	203
13	205
13.2	195
13.4	201
13.6	164
13.8	191
14	180
14.2	194
14.4	177
14.6	179
14.8	182
15	171
15.2	200
15.4	170
15.6	154
15.8	153
16	206
16.2	143
16.4	156
16.6	154
16.8	161
17	178
17.2	156
17.4	140
17.6	147
17.8	156
18	167
18.2	155
18.4	183
18.6	152
18.8	201
19	139
19.2	156
19.4	143
19.6	170
19.8	151
20	161
20.2	150
20.4	161
20.6	150
20.8	158
21	134
21.2	143
21.4	137
21.6	152
21.8	134
22	158
22.2	142
22.4	138
22.6	156
22.8	141
23	130
23.2	136
23.4	144
23.6	165
23.8	143
24	136
24.2	143
24.4	135
24.6	133
24.8	142
25	109
25.2	103
25.4	104
25.6	106
25.8	109
26	76
26.2	83
26.4	66
26.6	82
26.8	83
27	78
27.2	66
27.4	60
27.6	54
27.8	55
28	59
28.2	54
28.4	51
28.6	49
28.8	41
29	38
29.2	34
29.4	40
29.6	30
29.8	33
30	36
30.2	38
30.4	38
30.6	29
30.8	25
31	38
31.2	33
31.4	34
31.6	37
31.8	50
32	45
32.2	36
32.4	56
32.6	64
32.8	66
33	72
33.2	107
33.4	108
33.6	146
33.8	199
34	190
34.2	239
34.4	283
34.6	320
34.8	376
35	441
35.2	424
35.4	578
35.6	574
35.8	575
36	577
36.2	563
36.4	573
36.6	570
36.8	511
37	490
37.2	441
37.4	366
37.6	320
37.8	268
38	217
38.2	191
38.4	158
38.6	122
38.8	98
39	90
39.2	70
39.4	50
39.6	38
39.8	37
40	27
40.2	22
40.4	18
40.6	15
40.8	18
41	11
41.2	5
41.4	13
41.6	25
41.8	17
42	15
42.2	17
42.4	8
42.6	8
42.8	10
43	10
43.2	13
43.4	14
43.6	14
43.8	14
44	10
44.2	9
44.4	5
44.6	9
44.8	16
45	6
45.2	12
45.4	6
45.6	14
45.8	6
46	17
46.2	4
46.4	6
46.6	6
46.8	11
47	10
47.2	5
47.4	5
47.6	10
47.8	9
48	12
48.2	8
48.4	3
48.6	6
48.8	4
49	11
49.2	5
49.4	14
49.6	9
49.8	9
50	12
50.2	7
50.4	4
50.6	14
50.8	9
51	7
51.2	11
51.4	7
51.6	4
51.8	11
52	6
52.2	8
52.4	6
52.6	11
52.8	9
53	7
53.2	12
53.4	8
53.6	8
53.8	10
54	7
54.2	3
54.4	5
54.6	8
54.8	4
55	5
55.2	8
55.4	3
55.6	4
55.8	7
56	5
56.2	2
56.4	5
56.6	2
56.8	6
57	4
57.2	5
57.4	7
57.6	7
57.8	9
58	2
58.2	9
58.4	4
58.6	2
58.8	7
59	10
59.2	4
59.4	1
59.6	4
59.8	11
60	1
60.2	9
60.4	7
60.6	10
60.8	3
61	1
61.2	4
61.4	2
61.6	9
61.8	3
62	2
62.2	4
62.4	2
62.6	4
62.8	2
63	8
63.2	1
63.4	4
63.6	2
63.8	3
64	1
64.2	1
64.4	8
64.6	8
64.8	5
65	3
65.2	1
65.4	6
65.6	4
65.8	4
66	1
66.2	2
66.4	3
66.6	3
66.8	4
67	3
67.2	3
67.4	1
67.6	5
67.8	1
68	2
68.2	7
68.4	6
68.6	4
68.8	2
69	4
69.2	3
69.4	6
69.6	2
69.8	3
70	4
70.2	3
70.4	4
70.6	2
70.8	4
71	4
71.2	7
71.4	5
71.6	2
71.8	4
72	2
72.2	3
72.4	3
72.6	3
72.8	0
73	2
73.2	5
73.4	2
73.6	1
73.8	4
74	5
74.2	5
74.4	2
74.6	1
74.8	4
75	1
75.2	1
75.4	1
75.6	3
75.8	2
76	2
76.2	3
76.4	5
76.6	3
76.8	1
77	3
77.2	4
77.4	1
77.6	5
77.8	2
78	1
78.2	1
78.4	1
78.6	3
78.8	0
79	3
79.2	4
79.4	0
79.6	3
79.8	2
80	0
80.2	3
80.4	5
80.6	1
80.8	2
81	2
81.2	0
81.4	0
81.6	1
81.8	0
82	2
82.2	3
82.4	0
82.6	0
82.8	0
83	1
83.2	1
83.4	1
83.6	0
83.8	1
84	2
84.2	1
84.4	2
84.6	1
84.8	0
85	0
85.2	2
85.4	2
85.6	0
85.8	3
86	0
86.2	1
86.4	2
86.6	0
86.8	1
87	0
87.2	1
87.4	0
87.6	0
87.8	1
88	0
88.2	2
88.4	0
88.6	5
88.8	1
89	1
89.2	2
89.4	1
89.6	1
89.8	1
90	1
90.2	0
90.4	1
90.6	1
90.8	2
91	1
91.2	3
91.4	1
91.6	1
91.8	1
92	2
92.2	3
92.4	3
92.6	1
92.8	0
93	3
93.2	4
93.4	0
93.6	1
93.8	1
94	1
94.2	0
94.4	0
94.6	2
94.8	1
95	0
95.2	3
95.4	2
95.6	1
95.8	2
96	2
96.2	0
96.4	0
96.6	1
96.8	1
97	0
97.2	0
97.4	2
97.6	1
97.8	0
98	1
98.2	1
98.4	1
98.6	0
98.8	0
99	0
99.2	1
99.4	1
99.6	0
99.8	0
100	2
100.2	2
100.4	0
100.6	0
100.8	0
101	0
101.2	0
101.4	0
101.6	2
101.8	0
102	1
102.2	0
102.4	0
102.6	1
102.8	0
103	0
103.2	0
103.4	0
103.6	1
103.8	0
104	0
104.2	0
104.4	0
104.6	0
104.8	0
105	0
105.2	1
105.4	0
105.6	1
105.8	1
106	0
106.2	0
106.4	1
106.6	0
106.8	1
107	0
107.2	1
107.4	0
107.6	0
107.8	1
108	0
108.2	0
108.4	1
108.6	0
108.8	0
109	1
109.2	0
109.4	0
109.6	0
109.8	1
110	0
110.2	0
110.4	0
110.6	2
110.8	0
111	0
111.2	1
111.4	1
111.6	0
111.8	0
112	0
112.2	0
112.4	1
