Height/arb.u.	Counts
0	0
0.2	0
0.4	0
0.6	0
0.8	0
1	0
1.2	0
1.4	0
1.6	0
1.8	1
2	2
2.2	10
2.4	9
2.6	13
2.8	15
3	7
3.2	5
3.4	8
3.6	6
3.8	9
4	2
4.2	10
4.4	5
4.6	8
4.8	13
5	9
5.2	18
5.4	26
5.6	34
5.8	34
6	51
6.2	50
6.4	43
6.6	62
6.8	70
7	61
7.2	69
7.4	79
7.6	84
7.8	89
8	94
8.2	89
8.4	119
8.6	100
8.8	90
9	104
9.2	106
9.4	96
9.6	116
9.8	100
10	98
10.2	107
10.4	104
10.6	95
10.8	103
11	119
11.2	104
11.4	119
11.6	101
11.8	103
12	99
12.2	103
12.4	122
12.6	108
12.8	96
13	111
13.2	93
13.4	109
13.6	113
13.8	106
14	111
14.2	79
14.4	101
14.6	86
14.8	91
15	95
15.2	91
15.4	84
15.6	65
15.8	79
16	77
16.2	74
16.4	64
16.6	69
16.8	84
17	62
17.2	59
17.4	77
17.6	78
17.8	73
18	53
18.2	68
18.4	44
18.6	54
18.8	62
19	45
19.2	73
19.4	50
19.6	69
19.8	53
20	54
20.2	56
20.4	60
20.6	67
20.8	44
21	49
21.2	51
21.4	54
21.6	56
21.8	41
22	66
22.2	49
22.4	45
22.6	55
22.8	51
23	39
23.2	49
23.4	48
23.6	43
23.8	50
24	50
24.2	34
24.4	47
24.6	51
24.8	41
25	54
25.2	57
25.4	51
25.6	36
25.8	38
26	54
26.2	46
26.4	36
26.6	35
26.8	52
27	37
27.2	50
27.4	49
27.6	45
27.8	40
28	37
28.2	39
28.4	41
28.6	38
28.8	35
29	49
29.2	40
29.4	32
29.6	44
29.8	39
30	35
30.2	34
30.4	36
30.6	46
30.8	35
31	41
31.2	35
31.4	40
31.6	32
31.8	34
32	39
32.2	30
32.4	39
32.6	43
32.8	38
33	37
33.2	28
33.4	38
33.6	49
33.8	43
34	43
34.2	35
34.4	35
34.6	30
34.8	40
35	33
35.2	45
35.4	54
35.6	40
35.8	34
36	41
36.2	37
36.4	36
36.6	38
36.8	35
37	39
37.2	37
37.4	30
37.6	25
37.8	32
38	28
38.2	25
38.4	28
38.6	30
38.8	44
39	32
39.2	38
39.4	27
39.6	33
39.8	28
40	30
40.2	37
40.4	39
40.6	24
40.8	31
41	27
41.2	32
41.4	38
41.6	37
41.8	25
42	27
42.2	31
42.4	35
42.6	36
42.8	37
43	33
43.2	32
43.4	36
43.6	26
43.8	33
44	43
44.2	29
44.4	36
44.6	32
44.8	29
45	37
45.2	35
45.4	40
45.6	34
45.8	31
46	31
46.2	28
46.4	29
46.6	44
46.8	32
47	28
47.2	44
47.4	29
47.6	33
47.8	30
48	36
48.2	27
48.4	34
48.6	37
48.8	31
49	33
49.2	41
49.4	25
49.6	24
49.8	24
50	36
50.2	23
50.4	32
50.6	31
50.8	29
51	26
51.2	31
51.4	31
51.6	24
51.8	18
52	27
52.2	33
52.4	20
52.6	22
52.8	19
53	30
53.2	30
53.4	18
53.6	31
53.8	33
54	15
54.2	13
54.4	20
54.6	16
54.8	18
55	19
55.2	25
55.4	14
55.6	16
55.8	25
56	20
56.2	23
56.4	23
56.6	22
56.8	25
57	21
57.2	11
57.4	15
57.6	20
57.8	25
58	20
58.2	19
58.4	20
58.6	14
58.8	21
59	14
59.2	22
59.4	30
59.6	17
59.8	23
60	33
60.2	28
60.4	32
60.6	33
60.8	32
61	43
61.2	39
61.4	35
61.6	48
61.8	41
62	37
62.2	51
62.4	61
62.6	45
62.8	60
63	39
63.2	47
63.4	40
63.6	28
63.8	43
64	30
64.2	32
64.4	28
64.6	28
64.8	22
65	25
65.2	17
65.4	9
65.6	12
65.8	23
66	17
66.2	15
66.4	12
66.6	14
66.8	16
67	14
67.2	11
67.4	9
67.6	10
67.8	19
68	19
68.2	23
68.4	20
68.6	17
68.8	28
69	26
69.2	27
69.4	27
69.6	29
69.8	22
70	28
70.2	29
70.4	32
70.6	37
70.8	33
71	37
71.2	42
71.4	40
71.6	33
71.8	34
72	35
72.2	35
72.4	28
72.6	19
72.8	31
73	23
73.2	18
73.4	20
73.6	28
73.8	15
74	12
74.2	11
74.4	5
74.6	8
74.8	4
75	10
75.2	3
75.4	11
75.6	4
75.8	7
76	6
76.2	2
76.4	3
76.6	3
76.8	5
77	4
77.2	4
77.4	3
77.6	7
77.8	6
78	9
78.2	7
78.4	9
78.6	6
78.8	6
79	4
79.2	4
79.4	1
79.6	3
79.8	8
80	1
80.2	4
80.4	5
80.6	2
80.8	5
81	5
81.2	0
81.4	2
81.6	3
81.8	1
82	0
82.2	4
82.4	3
82.6	1
82.8	1
83	2
83.2	3
83.4	3
83.6	3
83.8	1
84	2
84.2	5
84.4	2
84.6	2
84.8	1
85	0
85.2	3
85.4	2
85.6	4
85.8	3
86	2
86.2	1
86.4	2
86.6	1
86.8	2
87	3
87.2	1
87.4	1
87.6	1
87.8	2
88	0
88.2	3
88.4	1
88.6	0
88.8	2
89	2
89.2	2
89.4	1
89.6	3
89.8	6
90	3
90.2	4
90.4	1
90.6	1
90.8	1
91	5
91.2	3
91.4	2
91.6	3
91.8	4
92	1
92.2	3
92.4	4
92.6	0
92.8	5
93	1
93.2	3
93.4	3
93.6	1
93.8	0
94	1
94.2	5
94.4	1
94.6	2
94.8	3
95	3
95.2	1
95.4	1
95.6	1
95.8	1
96	2
96.2	1
96.4	2
96.6	0
96.8	3
97	0
97.2	1
97.4	0
97.6	3
97.8	2
98	0
98.2	2
98.4	1
98.6	2
98.8	0
99	1
99.2	3
99.4	1
99.6	3
99.8	3
100	0
100.2	1
100.4	0
100.6	0
100.8	1
101	0
101.2	1
101.4	2
101.6	0
101.8	0
102	1
102.2	1
102.4	0
102.6	1
102.8	1
103	2
103.2	0
103.4	1
103.6	1
103.8	2
104	4
104.2	1
104.4	2
104.6	0
104.8	0
105	0
105.2	2
105.4	0
105.6	0
105.8	3
106	1
106.2	0
106.4	1
106.6	1
106.8	2
107	0
107.2	0
107.4	0
107.6	1
107.8	0
108	2
108.2	3
108.4	1
108.6	1
108.8	1
109	0
109.2	0
109.4	1
109.6	0
109.8	1
110	1
110.2	0
110.4	0
110.6	2
110.8	2
111	1
111.2	0
111.4	2
111.6	0
111.8	2
112	3
112.2	4
112.4	2
