Height/arb.u.	Counts
0	0
0.2	0
0.4	0
0.6	0
0.8	0
1	0
1.2	0
1.4	0
1.6	1
1.8	2
2	8
2.2	14
2.4	26
2.6	24
2.8	14
3	11
3.2	6
3.4	6
3.6	10
3.8	8
4	9
4.2	12
4.4	15
4.6	19
4.8	34
5	30
5.2	56
5.4	56
5.6	71
5.8	68
6	97
6.2	107
6.4	110
6.6	110
6.8	146
7	172
7.2	184
7.4	173
7.6	175
7.8	183
8	197
8.2	192
8.4	170
8.6	191
8.8	230
9	220
9.2	204
9.4	188
9.6	226
9.8	216
10	192
10.2	217
10.4	209
10.6	209
10.8	216
11	191
11.2	178
11.4	178
11.6	184
11.8	201
12	187
12.2	189
12.4	201
12.6	171
12.8	178
13	160
13.2	186
13.4	163
13.6	169
13.8	164
14	153
14.2	153
14.4	143
14.6	139
14.8	134
15	123
15.2	138
15.4	139
15.6	142
15.8	109
16	126
16.2	100
16.4	127
16.6	104
16.8	98
17	97
17.2	116
17.4	110
17.6	100
17.8	87
18	85
18.2	82
18.4	85
18.6	90
18.8	81
19	81
19.2	63
19.4	85
19.6	94
19.8	80
20	52
20.2	76
20.4	72
20.6	64
20.8	60
21	63
21.2	78
21.4	69
21.6	56
21.8	56
22	68
22.2	57
22.4	53
22.6	53
22.8	61
23	64
23.2	73
23.4	43
23.6	54
23.8	56
24	50
24.2	57
24.4	53
24.6	56
24.8	71
25	53
25.2	35
25.4	50
25.6	41
25.8	44
26	57
26.2	48
26.4	46
26.6	47
26.8	52
27	44
27.2	35
27.4	49
27.6	59
27.8	47
28	36
28.2	42
28.4	51
28.6	47
28.8	38
29	39
29.2	45
29.4	41
29.6	46
29.8	48
30	43
30.2	29
30.4	31
30.6	38
30.8	51
31	35
31.2	39
31.4	40
31.6	37
31.8	49
32	42
32.2	34
32.4	39
32.6	35
32.8	33
33	35
33.2	33
33.4	47
33.6	41
33.8	40
34	35
34.2	41
34.4	36
34.6	30
34.8	35
35	35
35.2	29
35.4	28
35.6	29
35.8	20
36	19
36.2	37
36.4	26
36.6	28
36.8	32
37	24
37.2	17
37.4	29
37.6	29
37.8	29
38	18
38.2	37
38.4	26
38.6	24
38.8	15
39	34
39.2	34
39.4	30
39.6	25
39.8	14
40	30
40.2	20
40.4	21
40.6	16
40.8	23
41	26
41.2	22
41.4	17
41.6	17
41.8	19
42	16
42.2	22
42.4	20
42.6	24
42.8	28
43	19
43.2	25
43.4	26
43.6	23
43.8	20
44	19
44.2	10
44.4	19
44.6	18
44.8	18
45	19
45.2	22
45.4	17
45.6	24
45.8	18
46	20
46.2	22
46.4	25
46.6	11
46.8	16
47	14
47.2	17
47.4	15
47.6	20
47.8	10
48	15
48.2	20
48.4	16
48.6	17
48.8	23
49	19
49.2	12
49.4	18
49.6	13
49.8	16
50	24
50.2	17
50.4	20
50.6	17
50.8	18
51	14
51.2	14
51.4	17
51.6	20
51.8	22
52	14
52.2	20
52.4	16
52.6	20
52.8	16
53	24
53.2	13
53.4	13
53.6	14
53.8	17
54	10
54.2	10
54.4	25
54.6	12
54.8	15
55	14
55.2	15
55.4	9
55.6	14
55.8	7
56	15
56.2	15
56.4	9
56.6	4
56.8	22
57	17
57.2	19
57.4	17
57.6	15
57.8	19
58	16
58.2	14
58.4	11
58.6	9
58.8	11
59	13
59.2	14
59.4	9
59.6	12
59.8	8
60	15
60.2	13
60.4	13
60.6	17
60.8	9
61	12
61.2	15
61.4	15
61.6	13
61.8	11
62	9
62.2	10
62.4	10
62.6	9
62.8	10
63	14
63.2	14
63.4	6
63.6	13
63.8	8
64	8
64.2	13
64.4	7
64.6	7
64.8	11
65	12
65.2	9
65.4	11
65.6	8
65.8	10
66	7
66.2	11
66.4	8
66.6	8
66.8	9
67	12
67.2	11
67.4	5
67.6	3
67.8	6
68	9
68.2	8
68.4	8
68.6	9
68.8	8
69	9
69.2	4
69.4	6
69.6	9
69.8	11
70	7
70.2	6
70.4	8
70.6	5
70.8	3
71	8
71.2	8
71.4	8
71.6	9
71.8	7
72	9
72.2	5
72.4	9
72.6	5
72.8	6
73	13
73.2	5
73.4	7
73.6	6
73.8	10
74	6
74.2	10
74.4	14
74.6	2
74.8	6
75	11
75.2	14
75.4	12
75.6	16
75.8	9
76	8
76.2	13
76.4	19
76.6	10
76.8	17
77	8
77.2	13
77.4	7
77.6	13
77.8	9
78	7
78.2	6
78.4	9
78.6	8
78.8	5
79	16
79.2	9
79.4	11
79.6	7
79.8	10
80	12
80.2	11
80.4	6
80.6	7
80.8	5
81	7
81.2	8
81.4	9
81.6	1
81.8	3
82	6
82.2	4
82.4	3
82.6	4
82.8	2
83	9
83.2	5
83.4	4
83.6	6
83.8	4
84	1
84.2	3
84.4	3
84.6	4
84.8	4
85	2
85.2	2
85.4	4
85.6	1
85.8	2
86	3
86.2	5
86.4	0
86.6	4
86.8	1
87	5
87.2	2
87.4	1
87.6	2
87.8	3
88	1
88.2	5
88.4	3
88.6	3
88.8	2
89	2
89.2	2
89.4	2
89.6	3
89.8	4
90	6
90.2	2
90.4	4
90.6	4
90.8	6
91	7
91.2	5
91.4	2
91.6	5
91.8	1
92	3
92.2	6
92.4	6
92.6	5
92.8	3
93	4
93.2	1
93.4	8
93.6	9
93.8	5
94	0
94.2	4
94.4	4
94.6	2
94.8	5
95	5
95.2	1
95.4	2
95.6	1
95.8	1
96	4
96.2	3
96.4	2
96.6	3
96.8	3
97	4
97.2	2
97.4	2
97.6	3
97.8	0
98	4
98.2	3
98.4	3
98.6	5
98.8	3
99	1
99.2	5
99.4	3
99.6	1
99.8	4
100	0
100.2	1
100.4	1
100.6	2
100.8	1
101	2
101.2	2
101.4	2
101.6	2
101.8	0
102	2
102.2	1
102.4	1
102.6	0
102.8	1
103	0
103.2	0
103.4	1
103.6	2
103.8	1
104	2
104.2	3
104.4	1
104.6	0
104.8	2
105	2
105.2	3
105.4	1
105.6	2
105.8	3
106	0
106.2	1
106.4	2
106.6	0
106.8	2
107	0
107.2	1
107.4	2
107.6	1
107.8	4
108	2
108.2	1
108.4	2
108.6	3
108.8	0
109	2
109.2	4
109.4	2
109.6	5
109.8	2
110	0
110.2	1
110.4	2
110.6	2
110.8	3
111	3
111.2	1
111.4	2
111.6	4
111.8	2
112	1
112.2	4
112.4	2
