Height/arb.u.	Counts
0	0
0.2	0
0.4	0
0.6	0
0.8	0
1	0
1.2	0
1.4	0
1.6	0
1.8	1
2	1
2.2	4
2.4	4
2.6	9
2.8	5
3	1
3.2	1
3.4	3
3.6	0
3.8	0
4	1
4.2	3
4.4	2
4.6	7
4.8	10
5	13
5.2	26
5.4	24
5.6	22
5.8	33
6	33
6.2	37
6.4	36
6.6	43
6.8	50
7	47
7.2	43
7.4	60
7.6	59
7.8	60
8	56
8.2	50
8.4	71
8.6	64
8.8	82
9	73
9.2	80
9.4	90
9.6	89
9.8	73
10	86
10.2	83
10.4	85
10.6	96
10.8	101
11	82
11.2	87
11.4	81
11.6	106
11.8	94
12	109
12.2	107
12.4	114
12.6	110
12.8	88
13	113
13.2	117
13.4	101
13.6	103
13.8	124
14	133
14.2	112
14.4	101
14.6	115
14.8	105
15	105
15.2	116
15.4	101
15.6	97
15.8	136
16	117
16.2	103
16.4	123
16.6	117
16.8	101
17	109
17.2	110
17.4	107
17.6	129
17.8	109
18	92
18.2	110
18.4	97
18.6	111
18.8	105
19	101
19.2	83
19.4	89
19.6	97
19.8	84
20	96
20.2	89
20.4	88
20.6	91
20.8	95
21	87
21.2	90
21.4	98
21.6	105
21.8	88
22	88
22.2	91
22.4	81
22.6	98
22.8	73
23	92
23.2	110
23.4	97
23.6	95
23.8	96
24	102
24.2	79
24.4	75
24.6	96
24.8	109
25	102
25.2	111
25.4	101
25.6	106
25.8	142
26	120
26.2	162
26.4	180
26.6	212
26.8	238
27	236
27.2	249
27.4	302
27.6	334
27.8	342
28	339
28.2	349
28.4	339
28.6	337
28.8	315
29	298
29.2	266
29.4	246
29.6	236
29.8	180
30	178
30.2	143
30.4	124
30.6	111
30.8	115
31	77
31.2	66
31.4	71
31.6	67
31.8	76
32	42
32.2	47
32.4	52
32.6	42
32.8	44
33	38
33.2	38
33.4	45
33.6	45
33.8	51
34	52
34.2	42
34.4	46
34.6	42
34.8	59
35	35
35.2	52
35.4	36
35.6	42
35.8	46
36	39
36.2	44
36.4	44
36.6	38
36.8	41
37	42
37.2	43
37.4	37
37.6	35
37.8	54
38	39
38.2	52
38.4	47
38.6	49
38.8	35
39	41
39.2	41
39.4	38
39.6	50
39.8	45
40	40
40.2	44
40.4	45
40.6	48
40.8	53
41	47
41.2	41
41.4	45
41.6	44
41.8	34
42	47
42.2	40
42.4	46
42.6	37
42.8	45
43	45
43.2	47
43.4	35
43.6	46
43.8	43
44	37
44.2	42
44.4	33
44.6	39
44.8	34
45	49
45.2	41
45.4	40
45.6	38
45.8	33
46	40
46.2	41
46.4	44
46.6	42
46.8	49
47	42
47.2	46
47.4	42
47.6	43
47.8	45
48	43
48.2	37
48.4	45
48.6	40
48.8	45
49	49
49.2	43
49.4	46
49.6	39
49.8	57
50	37
50.2	49
50.4	38
50.6	45
50.8	45
51	47
51.2	30
51.4	40
51.6	54
51.8	54
52	33
52.2	48
52.4	51
52.6	51
52.8	56
53	47
53.2	42
53.4	38
53.6	47
53.8	43
54	48
54.2	51
54.4	48
54.6	40
54.8	35
55	47
55.2	50
55.4	40
55.6	38
55.8	43
56	39
56.2	29
56.4	31
56.6	34
56.8	24
57	28
57.2	36
57.4	29
57.6	20
57.8	33
58	23
58.2	23
58.4	21
58.6	15
58.8	28
59	20
59.2	14
59.4	22
59.6	16
59.8	19
60	17
60.2	16
60.4	19
60.6	24
60.8	16
61	15
61.2	13
61.4	15
61.6	10
61.8	16
62	12
62.2	8
62.4	12
62.6	10
62.8	12
63	17
63.2	14
63.4	18
63.6	13
63.8	22
64	16
64.2	21
64.4	31
64.6	26
64.8	34
65	30
65.2	36
65.4	29
65.6	46
65.8	64
66	46
66.2	67
66.4	59
66.6	67
66.8	92
67	90
67.2	97
67.4	114
67.6	104
67.8	127
68	115
68.2	92
68.4	111
68.6	114
68.8	114
69	103
69.2	109
69.4	112
69.6	106
69.8	89
70	72
70.2	80
70.4	58
70.6	62
70.8	61
71	46
71.2	45
71.4	29
71.6	25
71.8	30
72	23
72.2	12
72.4	20
72.6	13
72.8	10
73	7
73.2	4
73.4	7
73.6	8
73.8	6
74	4
74.2	5
74.4	2
74.6	5
74.8	5
75	7
75.2	7
75.4	3
75.6	5
75.8	3
76	4
76.2	3
76.4	6
76.6	7
76.8	6
77	5
77.2	4
77.4	9
77.6	6
77.8	7
78	5
78.2	1
78.4	2
78.6	5
78.8	6
79	1
79.2	3
79.4	7
79.6	2
79.8	1
80	9
80.2	3
80.4	3
80.6	6
80.8	4
81	3
81.2	5
81.4	2
81.6	6
81.8	6
82	4
82.2	2
82.4	3
82.6	0
82.8	5
83	4
83.2	3
83.4	3
83.6	2
83.8	1
84	4
84.2	1
84.4	1
84.6	5
84.8	0
85	0
85.2	0
85.4	1
85.6	0
85.8	3
86	3
86.2	4
86.4	3
86.6	1
86.8	1
87	0
87.2	3
87.4	2
87.6	2
87.8	1
88	2
88.2	2
88.4	6
88.6	1
88.8	1
89	1
89.2	0
89.4	1
89.6	1
89.8	0
90	2
90.2	2
90.4	2
90.6	5
90.8	0
91	1
91.2	2
91.4	4
91.6	3
91.8	5
92	3
92.2	1
92.4	7
92.6	1
92.8	4
93	3
93.2	4
93.4	1
93.6	1
93.8	2
94	2
94.2	1
94.4	2
94.6	3
94.8	1
95	1
95.2	1
95.4	2
95.6	3
95.8	1
96	1
96.2	1
96.4	2
96.6	3
96.8	0
97	6
97.2	3
97.4	0
97.6	1
97.8	1
98	2
98.2	1
98.4	1
98.6	0
98.8	0
99	1
99.2	2
99.4	0
99.6	1
99.8	1
100	1
100.2	3
100.4	2
100.6	0
100.8	0
101	2
101.2	0
101.4	0
101.6	0
101.8	1
102	1
102.2	0
102.4	1
102.6	0
102.8	1
103	0
103.2	0
103.4	1
103.6	0
103.8	1
104	2
104.2	0
104.4	0
104.6	0
104.8	1
105	0
105.2	0
105.4	1
105.6	0
105.8	2
106	1
106.2	0
106.4	0
106.6	1
106.8	1
107	2
107.2	0
107.4	1
107.6	0
107.8	1
108	0
108.2	2
108.4	0
108.6	1
108.8	0
109	3
109.2	2
109.4	2
109.6	3
109.8	0
110	0
110.2	0
110.4	1
110.6	1
110.8	0
111	0
111.2	1
111.4	0
111.6	3
111.8	2
112	2
112.2	2
112.4	0
