Height/arb.u.	Counts
0	0
0.2	0
0.4	0
0.6	0
0.8	0
1	0
1.2	0
1.4	0
1.6	0
1.8	0
2	8
2.2	19
2.4	27
2.6	24
2.8	28
3	24
3.2	15
3.4	11
3.6	17
3.8	16
4	16
4.2	12
4.4	15
4.6	14
4.8	15
5	15
5.2	17
5.4	15
5.6	18
5.8	32
6	25
6.2	33
6.4	42
6.6	57
6.8	44
7	53
7.2	58
7.4	55
7.6	63
7.8	57
8	77
8.2	69
8.4	62
8.6	92
8.8	90
9	81
9.2	84
9.4	102
9.6	72
9.8	78
10	68
10.2	102
10.4	94
10.6	102
10.8	79
11	96
11.2	74
11.4	81
11.6	65
11.8	90
12	68
12.2	82
12.4	79
12.6	60
12.8	88
13	79
13.2	77
13.4	68
13.6	70
13.8	81
14	75
14.2	52
14.4	57
14.6	46
14.8	66
15	59
15.2	64
15.4	60
15.6	57
15.8	52
16	57
16.2	49
16.4	47
16.6	48
16.8	36
17	60
17.2	54
17.4	48
17.6	41
17.8	29
18	43
18.2	36
18.4	40
18.6	42
18.8	42
19	30
19.2	31
19.4	40
19.6	35
19.8	39
20	27
20.2	37
20.4	27
20.6	34
20.8	31
21	28
21.2	35
21.4	35
21.6	29
21.8	32
22	39
22.2	30
22.4	31
22.6	29
22.8	28
23	21
23.2	24
23.4	23
23.6	31
23.8	14
24	19
24.2	28
24.4	20
24.6	24
24.8	14
25	16
25.2	25
25.4	25
25.6	15
25.8	20
26	21
26.2	31
26.4	27
26.6	28
26.8	24
27	20
27.2	19
27.4	30
27.6	20
27.8	18
28	20
28.2	28
28.4	21
28.6	24
28.8	17
29	19
29.2	24
29.4	19
29.6	22
29.8	18
30	16
30.2	27
30.4	24
30.6	13
30.8	21
31	29
31.2	15
31.4	16
31.6	27
31.8	17
32	14
32.2	19
32.4	20
32.6	14
32.8	15
33	14
33.2	13
33.4	9
33.6	22
33.8	19
34	22
34.2	14
34.4	14
34.6	19
34.8	14
35	10
35.2	15
35.4	10
35.6	10
35.8	7
36	12
36.2	18
36.4	13
36.6	7
36.8	16
37	13
37.2	12
37.4	13
37.6	11
37.8	9
38	9
38.2	13
38.4	10
38.6	17
38.8	6
39	18
39.2	10
39.4	13
39.6	10
39.8	20
40	15
40.2	11
40.4	9
40.6	11
40.8	13
41	12
41.2	11
41.4	8
41.6	14
41.8	9
42	5
42.2	11
42.4	6
42.6	12
42.8	10
43	12
43.2	10
43.4	8
43.6	11
43.8	12
44	4
44.2	10
44.4	6
44.6	7
44.8	12
45	15
45.2	15
45.4	11
45.6	7
45.8	10
46	9
46.2	7
46.4	7
46.6	15
46.8	10
47	4
47.2	7
47.4	7
47.6	9
47.8	14
48	11
48.2	7
48.4	8
48.6	11
48.8	7
49	7
49.2	14
49.4	5
49.6	15
49.8	9
50	11
50.2	9
50.4	9
50.6	7
50.8	9
51	10
51.2	13
51.4	9
51.6	7
51.8	9
52	5
52.2	9
52.4	9
52.6	10
52.8	13
53	5
53.2	10
53.4	7
53.6	10
53.8	9
54	5
54.2	7
54.4	4
54.6	10
54.8	8
55	7
55.2	11
55.4	5
55.6	8
55.8	7
56	4
56.2	7
56.4	7
56.6	7
56.8	5
57	6
57.2	11
57.4	6
57.6	6
57.8	3
58	9
58.2	6
58.4	5
58.6	10
58.8	6
59	9
59.2	11
59.4	6
59.6	6
59.8	10
60	3
60.2	5
60.4	7
60.6	3
60.8	5
61	8
61.2	7
61.4	8
61.6	8
61.8	4
62	6
62.2	7
62.4	7
62.6	6
62.8	10
63	3
63.2	6
63.4	6
63.6	4
63.8	9
64	8
64.2	4
64.4	6
64.6	8
64.8	3
65	6
65.2	8
65.4	6
65.6	6
65.8	11
66	10
66.2	7
66.4	4
66.6	6
66.8	4
67	7
67.2	9
67.4	5
67.6	6
67.8	6
68	5
68.2	5
68.4	12
68.6	9
68.8	9
69	3
69.2	5
69.4	4
69.6	4
69.8	3
70	2
70.2	5
70.4	5
70.6	5
70.8	4
71	6
71.2	7
71.4	1
71.6	3
71.8	0
72	1
72.2	2
72.4	4
72.6	3
72.8	2
73	6
73.2	5
73.4	6
73.6	3
73.8	5
74	8
74.2	4
74.4	3
74.6	6
74.8	3
75	3
75.2	6
75.4	8
75.6	2
75.8	6
76	7
76.2	11
76.4	3
76.6	1
76.8	3
77	7
77.2	5
77.4	8
77.6	1
77.8	6
78	5
78.2	7
78.4	7
78.6	2
78.8	4
79	5
79.2	7
79.4	7
79.6	4
79.8	3
80	9
80.2	3
80.4	2
80.6	2
80.8	6
81	6
81.2	1
81.4	3
81.6	3
81.8	0
82	2
82.2	4
82.4	2
82.6	4
82.8	3
83	4
83.2	2
83.4	2
83.6	0
83.8	1
84	3
84.2	4
84.4	1
84.6	0
84.8	1
85	3
85.2	0
85.4	1
85.6	2
85.8	1
86	3
86.2	3
86.4	3
86.6	1
86.8	3
87	2
87.2	2
87.4	1
87.6	1
87.8	2
88	2
88.2	1
88.4	1
88.6	3
88.8	1
89	1
89.2	0
89.4	0
89.6	1
89.8	2
90	1
90.2	1
90.4	0
90.6	1
90.8	3
91	1
91.2	0
91.4	1
91.6	3
91.8	1
92	4
92.2	1
92.4	4
92.6	1
92.8	4
93	2
93.2	0
93.4	2
93.6	1
93.8	2
94	6
94.2	3
94.4	3
94.6	2
94.8	3
95	4
95.2	0
95.4	0
95.6	1
95.8	2
96	2
96.2	1
96.4	2
96.6	2
96.8	2
97	1
97.2	0
97.4	1
97.6	0
97.8	3
98	2
98.2	0
98.4	2
98.6	3
98.8	0
99	1
99.2	1
99.4	2
99.6	0
99.8	0
100	0
100.2	2
100.4	1
100.6	0
100.8	1
101	0
101.2	3
101.4	1
101.6	0
101.8	2
102	1
102.2	1
102.4	2
102.6	0
102.8	0
103	0
103.2	0
103.4	0
103.6	1
103.8	0
104	1
104.2	0
104.4	0
104.6	1
104.8	4
105	2
105.2	0
105.4	2
105.6	1
105.8	0
106	1
106.2	3
106.4	0
106.6	1
106.8	1
107	1
107.2	1
107.4	0
107.6	3
107.8	1
108	0
108.2	1
108.4	1
108.6	5
108.8	2
109	1
109.2	0
109.4	0
109.6	1
109.8	1
110	1
110.2	3
110.4	1
110.6	2
110.8	3
111	0
111.2	3
111.4	1
111.6	1
111.8	2
112	1
112.2	1
112.4	1
