Height/arb.u.	Counts
0	0
0.2	0
0.4	0
0.6	0
0.8	0
1	0
1.2	0
1.4	0
1.6	0
1.8	0
2	0
2.2	3
2.4	0
2.6	3
2.8	8
3	8
3.2	8
3.4	11
3.6	15
3.8	14
4	17
4.2	10
4.4	19
4.6	9
4.8	14
5	10
5.2	8
5.4	15
5.6	14
5.8	27
6	17
6.2	27
6.4	21
6.6	33
6.8	40
7	26
7.2	41
7.4	41
7.6	44
7.8	55
8	64
8.2	80
8.4	83
8.6	74
8.8	82
9	100
9.2	91
9.4	99
9.6	128
9.8	120
10	139
10.2	138
10.4	128
10.6	140
10.8	149
11	176
11.2	193
11.4	172
11.6	154
11.8	172
12	185
12.2	185
12.4	172
12.6	208
12.8	184
13	191
13.2	207
13.4	245
13.6	230
13.8	210
14	214
14.2	229
14.4	254
14.6	263
14.8	257
15	246
15.2	241
15.4	245
15.6	217
15.8	280
16	222
16.2	255
16.4	247
16.6	247
16.8	258
17	248
17.2	275
17.4	240
17.6	254
17.8	252
18	257
18.2	241
18.4	236
18.6	270
18.8	278
19	248
19.2	287
19.4	249
19.6	229
19.8	239
20	240
20.2	263
20.4	256
20.6	246
20.8	214
21	241
21.2	188
21.4	237
21.6	236
21.8	263
22	235
22.2	251
22.4	234
22.6	277
22.8	247
23	265
23.2	247
23.4	267
23.6	243
23.8	260
24	267
24.2	272
24.4	292
24.6	274
24.8	268
25	316
25.2	312
25.4	358
25.6	364
25.8	408
26	466
26.2	438
26.4	477
26.6	536
26.8	559
27	600
27.2	628
27.4	662
27.6	676
27.8	739
28	718
28.2	720
28.4	717
28.6	750
28.8	640
29	628
29.2	600
29.4	616
29.6	542
29.8	581
30	419
30.2	443
30.4	437
30.6	374
30.8	349
31	352
31.2	327
31.4	279
31.6	244
31.8	224
32	226
32.2	207
32.4	186
32.6	188
32.8	169
33	159
33.2	142
33.4	162
33.6	148
33.8	151
34	167
34.2	169
34.4	146
34.6	163
34.8	158
35	148
35.2	139
35.4	157
35.6	129
35.8	140
36	157
36.2	158
36.4	124
36.6	119
36.8	138
37	160
37.2	122
37.4	140
37.6	139
37.8	151
38	139
38.2	128
38.4	149
38.6	139
38.8	125
39	117
39.2	126
39.4	111
39.6	113
39.8	133
40	133
40.2	116
40.4	126
40.6	140
40.8	134
41	122
41.2	134
41.4	112
41.6	113
41.8	130
42	119
42.2	119
42.4	120
42.6	135
42.8	128
43	136
43.2	127
43.4	131
43.6	126
43.8	124
44	133
44.2	115
44.4	115
44.6	110
44.8	123
45	135
45.2	108
45.4	143
45.6	112
45.8	113
46	152
46.2	137
46.4	117
46.6	127
46.8	154
47	133
47.2	120
47.4	131
47.6	135
47.8	127
48	153
48.2	138
48.4	129
48.6	137
48.8	115
49	127
49.2	128
49.4	129
49.6	124
49.8	153
50	137
50.2	137
50.4	128
50.6	122
50.8	127
51	148
51.2	151
51.4	116
51.6	104
51.8	148
52	146
52.2	154
52.4	144
52.6	128
52.8	111
53	127
53.2	132
53.4	124
53.6	130
53.8	132
54	104
54.2	117
54.4	107
54.6	116
54.8	96
55	113
55.2	107
55.4	110
55.6	91
55.8	99
56	109
56.2	89
56.4	93
56.6	87
56.8	105
57	78
57.2	92
57.4	83
57.6	91
57.8	97
58	87
58.2	75
58.4	61
58.6	63
58.8	61
59	85
59.2	66
59.4	60
59.6	53
59.8	55
60	74
60.2	61
60.4	63
60.6	47
60.8	48
61	51
61.2	62
61.4	53
61.6	49
61.8	50
62	54
62.2	51
62.4	60
62.6	64
62.8	60
63	68
63.2	67
63.4	65
63.6	57
63.8	72
64	76
64.2	90
64.4	97
64.6	92
64.8	118
65	109
65.2	129
65.4	130
65.6	142
65.8	183
66	164
66.2	194
66.4	187
66.6	226
66.8	224
67	263
67.2	217
67.4	273
67.6	288
67.8	261
68	280
68.2	247
68.4	293
68.6	272
68.8	240
69	281
69.2	235
69.4	250
69.6	221
69.8	215
70	211
70.2	219
70.4	195
70.6	169
70.8	134
71	128
71.2	123
71.4	97
71.6	92
71.8	96
72	88
72.2	77
72.4	67
72.6	68
72.8	51
73	60
73.2	36
73.4	35
73.6	42
73.8	35
74	32
74.2	24
74.4	24
74.6	31
74.8	35
75	21
75.2	19
75.4	20
75.6	14
75.8	9
76	20
76.2	18
76.4	12
76.6	18
76.8	23
77	22
77.2	13
77.4	20
77.6	17
77.8	17
78	26
78.2	17
78.4	12
78.6	12
78.8	18
79	19
79.2	14
79.4	10
79.6	12
79.8	18
80	6
80.2	14
80.4	18
80.6	11
80.8	10
81	10
81.2	9
81.4	15
81.6	9
81.8	10
82	9
82.2	11
82.4	11
82.6	11
82.8	13
83	8
83.2	7
83.4	9
83.6	9
83.8	11
84	8
84.2	6
84.4	8
84.6	2
84.8	7
85	7
85.2	7
85.4	7
85.6	13
85.8	6
86	6
86.2	11
86.4	7
86.6	7
86.8	7
87	7
87.2	5
87.4	10
87.6	10
87.8	9
88	10
88.2	13
88.4	6
88.6	9
88.8	5
89	9
89.2	8
89.4	7
89.6	10
89.8	8
90	6
90.2	8
90.4	13
90.6	8
90.8	5
91	10
91.2	3
91.4	6
91.6	9
91.8	7
92	4
92.2	3
92.4	12
92.6	4
92.8	11
93	4
93.2	9
93.4	7
93.6	13
93.8	6
94	11
94.2	8
94.4	8
94.6	7
94.8	7
95	8
95.2	9
95.4	9
95.6	6
95.8	13
96	4
96.2	2
96.4	6
96.6	6
96.8	13
97	10
97.2	6
97.4	6
97.6	6
97.8	1
98	6
98.2	5
98.4	11
98.6	4
98.8	1
99	7
99.2	4
99.4	9
99.6	4
99.8	4
100	5
100.2	2
100.4	0
100.6	7
100.8	5
101	4
101.2	4
101.4	1
101.6	4
101.8	2
102	1
102.2	5
102.4	5
102.6	2
102.8	0
103	3
103.2	4
103.4	3
103.6	1
103.8	7
104	3
104.2	1
104.4	3
104.6	2
104.8	4
105	1
105.2	4
105.4	3
105.6	1
105.8	1
106	4
106.2	2
106.4	3
106.6	3
106.8	2
107	5
107.2	4
107.4	3
107.6	2
107.8	2
108	4
108.2	0
108.4	3
108.6	3
108.8	5
109	4
109.2	3
109.4	3
109.6	5
109.8	2
110	2
110.2	4
110.4	4
110.6	5
110.8	3
111	4
111.2	2
111.4	4
111.6	2
111.8	6
112	2
112.2	5
112.4	3
