Height/arb.u.	Counts
0	0
0.2	0
0.4	0
0.6	0
0.8	0
1	0
1.2	0
1.4	0
1.6	0
1.8	0
2	3
2.2	4
2.4	7
2.6	13
2.8	13
3	16
3.2	10
3.4	5
3.6	8
3.8	6
4	7
4.2	9
4.4	11
4.6	27
4.8	28
5	46
5.2	40
5.4	59
5.6	85
5.8	90
6	118
6.2	113
6.4	125
6.6	149
6.8	139
7	142
7.2	136
7.4	149
7.6	158
7.8	162
8	165
8.2	186
8.4	184
8.6	164
8.8	227
9	199
9.2	204
9.4	243
9.6	237
9.8	300
10	235
10.2	226
10.4	262
10.6	292
10.8	277
11	304
11.2	294
11.4	261
11.6	317
11.8	313
12	305
12.2	304
12.4	295
12.6	307
12.8	344
13	333
13.2	325
13.4	344
13.6	309
13.8	346
14	325
14.2	332
14.4	366
14.6	337
14.8	343
15	300
15.2	336
15.4	349
15.6	342
15.8	400
16	388
16.2	406
16.4	367
16.6	383
16.8	425
17	430
17.2	355
17.4	365
17.6	407
17.8	417
18	378
18.2	404
18.4	406
18.6	396
18.8	424
19	431
19.2	450
19.4	449
19.6	425
19.8	398
20	416
20.2	411
20.4	379
20.6	340
20.8	370
21	327
21.2	287
21.4	302
21.6	264
21.8	226
22	243
22.2	213
22.4	193
22.6	148
22.8	176
23	154
23.2	185
23.4	175
23.6	151
23.8	158
24	163
24.2	161
24.4	156
24.6	147
24.8	147
25	125
25.2	148
25.4	146
25.6	152
25.8	130
26	125
26.2	157
26.4	162
26.6	137
26.8	145
27	143
27.2	140
27.4	134
27.6	129
27.8	136
28	141
28.2	115
28.4	123
28.6	138
28.8	123
29	118
29.2	126
29.4	110
29.6	141
29.8	106
30	142
30.2	133
30.4	130
30.6	164
30.8	146
31	179
31.2	162
31.4	191
31.6	216
31.8	238
32	216
32.2	238
32.4	276
32.6	262
32.8	282
33	252
33.2	267
33.4	298
33.6	261
33.8	283
34	250
34.2	248
34.4	225
34.6	225
34.8	177
35	158
35.2	172
35.4	150
35.6	146
35.8	119
36	128
36.2	132
36.4	105
36.6	83
36.8	98
37	101
37.2	88
37.4	86
37.6	79
37.8	97
38	74
38.2	80
38.4	78
38.6	76
38.8	91
39	81
39.2	75
39.4	93
39.6	80
39.8	91
40	75
40.2	88
40.4	87
40.6	76
40.8	94
41	79
41.2	90
41.4	87
41.6	79
41.8	81
42	82
42.2	105
42.4	86
42.6	91
42.8	71
43	104
43.2	84
43.4	89
43.6	84
43.8	74
44	64
44.2	64
44.4	84
44.6	64
44.8	59
45	71
45.2	62
45.4	55
45.6	58
45.8	64
46	69
46.2	60
46.4	69
46.6	49
46.8	58
47	51
47.2	69
47.4	58
47.6	50
47.8	53
48	58
48.2	73
48.4	65
48.6	64
48.8	54
49	59
49.2	42
49.4	58
49.6	66
49.8	67
50	58
50.2	64
50.4	61
50.6	58
50.8	58
51	50
51.2	43
51.4	50
51.6	56
51.8	61
52	55
52.2	48
52.4	47
52.6	49
52.8	45
53	46
53.2	38
53.4	46
53.6	47
53.8	54
54	47
54.2	46
54.4	42
54.6	37
54.8	52
55	36
55.2	44
55.4	35
55.6	39
55.8	46
56	43
56.2	46
56.4	42
56.6	55
56.8	49
57	52
57.2	57
57.4	45
57.6	57
57.8	65
58	58
58.2	59
58.4	57
58.6	72
58.8	72
59	61
59.2	60
59.4	71
59.6	75
59.8	69
60	67
60.2	74
60.4	77
60.6	54
60.8	76
61	72
61.2	76
61.4	70
61.6	62
61.8	64
62	56
62.2	42
62.4	46
62.6	54
62.8	34
63	51
63.2	51
63.4	45
63.6	42
63.8	43
64	41
64.2	46
64.4	46
64.6	42
64.8	48
65	50
65.2	33
65.4	38
65.6	37
65.8	42
66	40
66.2	26
66.4	41
66.6	43
66.8	35
67	33
67.2	37
67.4	41
67.6	42
67.8	30
68	32
68.2	42
68.4	42
68.6	36
68.8	29
69	32
69.2	37
69.4	32
69.6	43
69.8	35
70	25
70.2	32
70.4	28
70.6	29
70.8	34
71	38
71.2	25
71.4	34
71.6	33
71.8	39
72	18
72.2	36
72.4	30
72.6	44
72.8	32
73	51
73.2	41
73.4	48
73.6	50
73.8	30
74	26
74.2	48
74.4	46
74.6	32
74.8	42
75	32
75.2	37
75.4	42
75.6	30
75.8	34
76	27
76.2	37
76.4	30
76.6	38
76.8	35
77	27
77.2	30
77.4	30
77.6	33
77.8	26
78	29
78.2	31
78.4	26
78.6	23
78.8	23
79	25
79.2	33
79.4	28
79.6	31
79.8	32
80	27
80.2	25
80.4	26
80.6	17
80.8	21
81	21
81.2	27
81.4	17
81.6	25
81.8	26
82	16
82.2	22
82.4	16
82.6	23
82.8	18
83	19
83.2	21
83.4	13
83.6	19
83.8	21
84	14
84.2	12
84.4	18
84.6	11
84.8	14
85	18
85.2	15
85.4	12
85.6	17
85.8	13
86	15
86.2	13
86.4	10
86.6	17
86.8	12
87	13
87.2	14
87.4	12
87.6	12
87.8	14
88	12
88.2	15
88.4	14
88.6	18
88.8	15
89	20
89.2	20
89.4	18
89.6	17
89.8	24
90	18
90.2	24
90.4	25
90.6	19
90.8	21
91	19
91.2	31
91.4	37
91.6	29
91.8	24
92	41
92.2	26
92.4	39
92.6	29
92.8	38
93	28
93.2	34
93.4	28
93.6	22
93.8	27
94	32
94.2	36
94.4	39
94.6	29
94.8	32
95	21
95.2	14
95.4	21
95.6	31
95.8	15
96	27
96.2	19
96.4	22
96.6	19
96.8	18
97	15
97.2	14
97.4	16
97.6	15
97.8	6
98	12
98.2	7
98.4	9
98.6	14
98.8	12
99	8
99.2	7
99.4	8
99.6	5
99.8	10
100	8
100.2	11
100.4	6
100.6	8
100.8	4
101	4
101.2	9
101.4	5
101.6	8
101.8	9
102	6
102.2	7
102.4	9
102.6	9
102.8	6
103	7
103.2	7
103.4	7
103.6	4
103.8	6
104	7
104.2	5
104.4	4
104.6	3
104.8	3
105	10
105.2	7
105.4	8
105.6	6
105.8	4
106	8
106.2	3
106.4	2
106.6	1
106.8	5
107	6
107.2	7
107.4	4
107.6	2
107.8	2
108	4
108.2	5
108.4	11
108.6	10
108.8	7
109	6
109.2	8
109.4	6
109.6	8
109.8	9
110	10
110.2	4
110.4	6
110.6	2
110.8	7
111	11
111.2	9
111.4	11
111.6	15
111.8	9
112	6
112.2	14
112.4	8
