Height/arb.u.	Counts
0	0
0.2	0
0.4	0
0.6	0
0.8	0
1	0
1.2	0
1.4	0
1.6	0
1.8	3
2	4
2.2	10
2.4	13
2.6	22
2.8	30
3	22
3.2	21
3.4	13
3.6	10
3.8	12
4	8
4.2	5
4.4	6
4.6	4
4.8	3
5	4
5.2	4
5.4	2
5.6	2
5.8	7
6	3
6.2	6
6.4	6
6.6	6
6.8	4
7	4
7.2	13
7.4	9
7.6	7
7.8	13
8	14
8.2	17
8.4	10
8.6	22
8.8	19
9	11
9.2	19
9.4	14
9.6	14
9.8	14
10	17
10.2	17
10.4	20
10.6	18
10.8	20
11	18
11.2	17
11.4	16
11.6	17
11.8	18
12	25
12.2	20
12.4	23
12.6	18
12.8	23
13	14
13.2	21
13.4	26
13.6	15
13.8	16
14	17
14.2	21
14.4	17
14.6	16
14.8	7
15	20
15.2	23
15.4	15
15.6	11
15.8	14
16	20
16.2	13
16.4	10
16.6	12
16.8	11
17	17
17.2	9
17.4	5
17.6	24
17.8	7
18	16
18.2	19
18.4	13
18.6	11
18.8	15
19	13
19.2	11
19.4	9
19.6	5
19.8	13
20	11
20.2	8
20.4	11
20.6	11
20.8	14
21	11
21.2	15
21.4	12
21.6	9
21.8	14
22	15
22.2	12
22.4	9
22.6	7
22.8	10
23	10
23.2	7
23.4	16
23.6	10
23.8	6
24	10
24.2	5
24.4	4
24.6	10
24.8	16
25	11
25.2	8
25.4	6
25.6	6
25.8	5
26	8
26.2	9
26.4	7
26.6	10
26.8	12
27	11
27.2	5
27.4	7
27.6	8
27.8	16
28	9
28.2	7
28.4	11
28.6	8
28.8	12
29	9
29.2	13
29.4	9
29.6	11
29.8	6
30	9
30.2	11
30.4	8
30.6	6
30.8	7
31	6
31.2	8
31.4	7
31.6	7
31.8	7
32	10
32.2	8
32.4	10
32.6	5
32.8	8
33	12
33.2	11
33.4	7
33.6	8
33.8	5
34	7
34.2	10
34.4	7
34.6	4
34.8	4
35	8
35.2	7
35.4	6
35.6	7
35.8	3
36	4
36.2	5
36.4	1
36.6	9
36.8	8
37	9
37.2	5
37.4	4
37.6	6
37.8	2
38	4
38.2	9
38.4	6
38.6	8
38.8	7
39	8
39.2	2
39.4	6
39.6	6
39.8	6
40	4
40.2	4
40.4	6
40.6	5
40.8	3
41	7
41.2	5
41.4	6
41.6	6
41.8	3
42	4
42.2	8
42.4	7
42.6	8
42.8	0
43	7
43.2	5
43.4	6
43.6	7
43.8	8
44	5
44.2	4
44.4	1
44.6	4
44.8	7
45	4
45.2	9
45.4	2
45.6	6
45.8	4
46	5
46.2	7
46.4	6
46.6	5
46.8	6
47	8
47.2	7
47.4	2
47.6	7
47.8	1
48	11
48.2	7
48.4	5
48.6	4
48.8	2
49	3
49.2	8
49.4	2
49.6	2
49.8	4
50	4
50.2	7
50.4	1
50.6	3
50.8	6
51	3
51.2	6
51.4	6
51.6	7
51.8	4
52	3
52.2	5
52.4	9
52.6	3
52.8	3
53	6
53.2	6
53.4	4
53.6	4
53.8	6
54	2
54.2	2
54.4	2
54.6	3
54.8	8
55	2
55.2	4
55.4	4
55.6	1
55.8	4
56	8
56.2	3
56.4	2
56.6	5
56.8	3
57	3
57.2	3
57.4	3
57.6	5
57.8	6
58	4
58.2	4
58.4	6
58.6	1
58.8	2
59	5
59.2	3
59.4	7
59.6	0
59.8	3
60	3
60.2	3
60.4	5
60.6	1
60.8	2
61	3
61.2	5
61.4	4
61.6	7
61.8	2
62	3
62.2	1
62.4	2
62.6	3
62.8	2
63	6
63.2	4
63.4	2
63.6	7
63.8	4
64	4
64.2	2
64.4	3
64.6	2
64.8	4
65	5
65.2	1
65.4	1
65.6	5
65.8	4
66	3
66.2	2
66.4	4
66.6	1
66.8	1
67	2
67.2	3
67.4	4
67.6	0
67.8	3
68	4
68.2	4
68.4	3
68.6	0
68.8	0
69	4
69.2	2
69.4	5
69.6	2
69.8	5
70	3
70.2	2
70.4	2
70.6	2
70.8	0
71	4
71.2	4
71.4	3
71.6	1
71.8	4
72	2
72.2	2
72.4	1
72.6	1
72.8	0
73	4
73.2	2
73.4	2
73.6	2
73.8	3
74	1
74.2	0
74.4	2
74.6	1
74.8	3
75	1
75.2	2
75.4	5
75.6	4
75.8	2
76	2
76.2	2
76.4	3
76.6	4
76.8	5
77	7
77.2	5
77.4	1
77.6	0
77.8	2
78	2
78.2	1
78.4	1
78.6	3
78.8	4
79	1
79.2	1
79.4	6
79.6	6
79.8	1
80	2
80.2	7
80.4	3
80.6	1
80.8	3
81	1
81.2	7
81.4	1
81.6	3
81.8	0
82	0
82.2	1
82.4	1
82.6	2
82.8	3
83	2
83.2	0
83.4	1
83.6	2
83.8	1
84	2
84.2	1
84.4	1
84.6	1
84.8	3
85	3
85.2	1
85.4	1
85.6	1
85.8	1
86	0
86.2	0
86.4	3
86.6	0
86.8	0
87	1
87.2	2
87.4	2
87.6	2
87.8	2
88	2
88.2	0
88.4	1
88.6	1
88.8	0
89	1
89.2	1
89.4	1
89.6	3
89.8	1
90	1
90.2	1
90.4	1
90.6	1
90.8	2
91	1
91.2	3
91.4	1
91.6	2
91.8	1
92	2
92.2	1
92.4	2
92.6	3
92.8	0
93	0
93.2	2
93.4	2
93.6	3
93.8	1
94	3
94.2	1
94.4	2
94.6	2
94.8	1
95	2
95.2	3
95.4	6
95.6	1
95.8	0
96	0
96.2	1
96.4	2
96.6	0
96.8	3
97	1
97.2	1
97.4	0
97.6	3
97.8	2
98	0
98.2	0
98.4	0
98.6	3
98.8	0
99	0
99.2	0
99.4	0
99.6	0
99.8	1
100	0
100.2	0
100.4	1
100.6	0
100.8	1
101	3
101.2	2
101.4	1
101.6	3
101.8	0
102	1
102.2	0
102.4	1
102.6	0
102.8	0
103	1
103.2	0
103.4	1
103.6	1
103.8	0
104	2
104.2	0
104.4	0
104.6	0
104.8	0
105	0
105.2	1
105.4	1
105.6	0
105.8	0
106	0
106.2	0
106.4	1
106.6	0
106.8	2
107	1
107.2	0
107.4	0
107.6	1
107.8	0
108	0
108.2	0
108.4	0
108.6	0
108.8	0
109	1
109.2	1
109.4	0
109.6	1
109.8	0
110	1
110.2	0
110.4	1
110.6	0
110.8	0
111	0
111.2	0
111.4	1
111.6	2
111.8	0
112	1
112.2	0
112.4	1
