Height/arb.u.	Counts
0	0
0.2	0
0.4	0
0.6	0
0.8	0
1	0
1.2	0
1.4	0
1.6	1
1.8	0
2	4
2.2	8
2.4	18
2.6	19
2.8	16
3	29
3.2	15
3.4	10
3.6	5
3.8	7
4	8
4.2	8
4.4	13
4.6	22
4.8	32
5	40
5.2	41
5.4	65
5.6	90
5.8	98
6	120
6.2	137
6.4	151
6.6	168
6.8	144
7	185
7.2	191
7.4	177
7.6	170
7.8	206
8	210
8.2	216
8.4	227
8.6	246
8.8	234
9	250
9.2	250
9.4	264
9.6	235
9.8	277
10	280
10.2	287
10.4	291
10.6	303
10.8	274
11	308
11.2	289
11.4	279
11.6	335
11.8	309
12	346
12.2	293
12.4	294
12.6	294
12.8	329
13	310
13.2	293
13.4	327
13.6	338
13.8	346
14	322
14.2	337
14.4	329
14.6	322
14.8	348
15	308
15.2	353
15.4	370
15.6	366
15.8	327
16	363
16.2	356
16.4	405
16.6	378
16.8	355
17	348
17.2	340
17.4	346
17.6	348
17.8	354
18	382
18.2	360
18.4	384
18.6	400
18.8	439
19	436
19.2	453
19.4	420
19.6	432
19.8	444
20	409
20.2	389
20.4	355
20.6	336
20.8	306
21	296
21.2	309
21.4	249
21.6	273
21.8	218
22	228
22.2	194
22.4	219
22.6	223
22.8	182
23	186
23.2	185
23.4	164
23.6	173
23.8	169
24	188
24.2	148
24.4	163
24.6	158
24.8	175
25	160
25.2	152
25.4	137
25.6	170
25.8	155
26	159
26.2	152
26.4	149
26.6	156
26.8	152
27	169
27.2	142
27.4	153
27.6	170
27.8	134
28	148
28.2	136
28.4	160
28.6	130
28.8	142
29	138
29.2	140
29.4	153
29.6	131
29.8	162
30	117
30.2	164
30.4	129
30.6	170
30.8	181
31	196
31.2	180
31.4	208
31.6	219
31.8	258
32	263
32.2	291
32.4	305
32.6	323
32.8	321
33	333
33.2	341
33.4	325
33.6	325
33.8	283
34	290
34.2	297
34.4	235
34.6	241
34.8	195
35	188
35.2	165
35.4	159
35.6	162
35.8	137
36	126
36.2	102
36.4	100
36.6	117
36.8	100
37	108
37.2	115
37.4	117
37.6	103
37.8	87
38	82
38.2	90
38.4	85
38.6	89
38.8	107
39	99
39.2	90
39.4	93
39.6	96
39.8	94
40	82
40.2	94
40.4	89
40.6	94
40.8	82
41	89
41.2	100
41.4	95
41.6	94
41.8	90
42	94
42.2	105
42.4	98
42.6	95
42.8	82
43	107
43.2	83
43.4	79
43.6	86
43.8	98
44	78
44.2	89
44.4	84
44.6	88
44.8	76
45	93
45.2	86
45.4	94
45.6	83
45.8	83
46	69
46.2	65
46.4	70
46.6	64
46.8	74
47	69
47.2	63
47.4	79
47.6	60
47.8	71
48	59
48.2	67
48.4	86
48.6	65
48.8	72
49	66
49.2	52
49.4	59
49.6	79
49.8	75
50	67
50.2	54
50.4	44
50.6	72
50.8	64
51	54
51.2	57
51.4	56
51.6	58
51.8	67
52	65
52.2	49
52.4	51
52.6	52
52.8	55
53	58
53.2	56
53.4	48
53.6	41
53.8	41
54	59
54.2	63
54.4	55
54.6	51
54.8	35
55	43
55.2	63
55.4	58
55.6	45
55.8	51
56	51
56.2	59
56.4	49
56.6	57
56.8	45
57	67
57.2	67
57.4	79
57.6	70
57.8	61
58	57
58.2	83
58.4	84
58.6	74
58.8	77
59	84
59.2	62
59.4	85
59.6	91
59.8	84
60	89
60.2	90
60.4	87
60.6	63
60.8	76
61	70
61.2	72
61.4	62
61.6	62
61.8	55
62	56
62.2	77
62.4	72
62.6	41
62.8	60
63	58
63.2	49
63.4	48
63.6	43
63.8	60
64	43
64.2	45
64.4	55
64.6	50
64.8	42
65	43
65.2	44
65.4	54
65.6	61
65.8	50
66	43
66.2	47
66.4	34
66.6	48
66.8	48
67	43
67.2	29
67.4	40
67.6	31
67.8	48
68	32
68.2	41
68.4	37
68.6	41
68.8	35
69	42
69.2	29
69.4	25
69.6	25
69.8	25
70	34
70.2	36
70.4	48
70.6	46
70.8	42
71	25
71.2	54
71.4	36
71.6	37
71.8	36
72	45
72.2	38
72.4	47
72.6	60
72.8	57
73	41
73.2	50
73.4	51
73.6	28
73.8	45
74	36
74.2	34
74.4	49
74.6	44
74.8	36
75	47
75.2	45
75.4	41
75.6	42
75.8	36
76	41
76.2	29
76.4	46
76.6	34
76.8	26
77	34
77.2	30
77.4	37
77.6	29
77.8	34
78	32
78.2	33
78.4	34
78.6	29
78.8	25
79	33
79.2	27
79.4	27
79.6	35
79.8	33
80	23
80.2	28
80.4	16
80.6	27
80.8	20
81	27
81.2	23
81.4	28
81.6	21
81.8	24
82	23
82.2	27
82.4	19
82.6	17
82.8	16
83	18
83.2	22
83.4	10
83.6	17
83.8	22
84	13
84.2	16
84.4	14
84.6	21
84.8	10
85	18
85.2	21
85.4	16
85.6	11
85.8	15
86	14
86.2	15
86.4	17
86.6	13
86.8	14
87	12
87.2	16
87.4	16
87.6	20
87.8	26
88	14
88.2	13
88.4	21
88.6	17
88.8	10
89	15
89.2	21
89.4	15
89.6	21
89.8	30
90	32
90.2	29
90.4	30
90.6	21
90.8	29
91	28
91.2	38
91.4	31
91.6	32
91.8	33
92	38
92.2	34
92.4	41
92.6	39
92.8	37
93	40
93.2	39
93.4	41
93.6	38
93.8	38
94	42
94.2	21
94.4	31
94.6	32
94.8	22
95	32
95.2	33
95.4	24
95.6	22
95.8	19
96	23
96.2	19
96.4	13
96.6	14
96.8	19
97	14
97.2	16
97.4	16
97.6	12
97.8	10
98	17
98.2	13
98.4	7
98.6	13
98.8	12
99	7
99.2	11
99.4	9
99.6	7
99.8	14
100	10
100.2	9
100.4	10
100.6	7
100.8	6
101	6
101.2	8
101.4	6
101.6	11
101.8	16
102	6
102.2	8
102.4	6
102.6	8
102.8	11
103	10
103.2	14
103.4	6
103.6	7
103.8	5
104	13
104.2	4
104.4	9
104.6	6
104.8	5
105	4
105.2	3
105.4	6
105.6	5
105.8	4
106	6
106.2	4
106.4	7
106.6	5
106.8	5
107	4
107.2	2
107.4	6
107.6	6
107.8	11
108	11
108.2	10
108.4	5
108.6	4
108.8	4
109	4
109.2	11
109.4	4
109.6	5
109.8	5
110	9
110.2	9
110.4	12
110.6	15
110.8	6
111	12
111.2	10
111.4	13
111.6	10
111.8	23
112	13
112.2	5
112.4	7
